Design No.,Contractor,Mix Type,Grade,Binder Content,Binder Type,Traffic Level,FLc,Flf,AL,GA,HN,IL,JA,KY,MX,NS,NB,QC,SC,TN,AL2,GA2,HN2,IL2,JA2,KY2,MX2,NS2,NB2,QC2,SC2,TN2,Sand,RAP,BLEND SUM,Design No.
5074A,Lane Construction,SP 9.5,Fine,6.0,PG 64 22,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,12.00,25.00,100.00,SP 07 5074A
5075A,Orlando Paving Co.,SP 12.5,Fine,5.5,PG 64 22,C,15.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,29.00,100.00,SP 07 5075A
5076A,Orlando Paving Co.,SP 12.5,Fine,5.5,PG 64 22,C,15.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,29.00,100.00,SP 07 5076A
5077A,Orlando Paving Co.,SP 19.0,Fine,5.6,PG 67 22,C,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,100.00,SP 07 5077A
5078A,Orlando Paving Co.,SP 12.5,Fine,6.3,PG 67 22,C,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,100.00,SP 07 5078A
5079A,Orlando Paving Co.,SP 12.5,Fine,5.7,PG 67 22,C,20.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 07 5079A
5080A,Orlando Paving Co.,FC 12.5,Fine,5.7,ARB 5,C,20.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 07 5080A
5081A,Community Asphalt Corp.,SP 12.5,Fine,5.9,PG 76 22 (PMA),D,45.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,15.00,100.00,SPM 07 5081A
5082A,Orlando Paving Co.,SP 9.5,Coarse,5.3,PG 67 22,E,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,100.00,SP 07 5082A
5083A,Ranger Construction,SP 12.5,Fine,6.0,PG 76 22 (PMA),D,39.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5083A
5084A,Orlando Paving Co.,SP 19.0,Coarse,5.3,PG 67 22,E,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,7.00,0.00,100.00,SP 07 5084A
5086A,Orlando Paving Co.,SP 19.0,Fine,5.3,PG 64 22,C,36.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,29.00,100.00,SP 07 5086A
5087A,P & S Paving Inc.,SP 9.5,Fine,7.7,PG 76 22 (PMA),C,38.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5087A
5088A,Ranger Construction,SP 12.5,Coarse,5.3,PG 64 22,D,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 07 5088A
5089A,Ranger Construction,SP 9.5,Coarse,6.4,PG 64 22,D,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 07 5089A
5090A,Peavy & Son Construction,SP 12.5,Fine,5.0,RA 2000,C,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 07 5090A
5091A,Ranger Construction,SP 19.0,Fine,5.0,RA 900,C,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,10.00,30.00,100.00,SP 07 5091A
5092A,APAC First Coast Division,SP 12.5,Fine,5.0,PG 67 22,C,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 07 5092A
5093A,Elmo Greer & Sons,SP 12.5,Fine,6.6,PG 64 22,C,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 07 5093A
5094A,P & S Paving Inc.,SP 12.5,Fine,6.5,PG 67 22,D,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,15.00,100.00,SP 07 5094A
5095A,Lane Construction,SP 12.5,Fine,5.3,PG 64 22,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,13.00,25.00,100.00,SP 07 5095A
5096A,Atlantic Coast Asphalt,FC 12.5,Fine,5.8,PG 76 22 (PMA),C,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SPM 07 5096A
5098A,Anderson Columbia,SP 9.5,Fine,5.6,PG 67 22,C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 07 5098A
5099A,C.W. Roberts Contracting,FC 12.5,Fine,5.4,ARB 5,C,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 07 5099A
5100A,APAC Gulf Coast Division,SP 12.5,Fine,5.3,PG 76 22 (PMA),C,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,15.00,100.00,SPM 07 5100A
5101A,Anderson Columbia,FC 9.5,Fine,5.6,PG 76 22 (PMA),C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SPM 07 5101A
5102A,Orlando Paving Co.,SP 9.5,Fine,5.9,RA 1600,C,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,29.00,100.00,SP 07 5102A
5103A,APAC Central Fla. Division,SP 9.5,Fine,6.9,PG 67 22,C,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,100.00,SP 07 5103A
5104A,Weekley Asphalt Paving,SP 12.5,Fine,6.5,PG 76 22 (PMA),C,44.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5104A
5105A,Ajax Paving Industries Inc.,SP 12.5,Fine,5.7,PG 76 22 (PMA),C,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 07 5105A
5106A,Ajax Paving Industries Inc.,SP 12.5,Fine,5.5,PG 76 22 (PMA),C,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 07 5106A
5107A,Ranger Construction,SP 12.5,Fine,6.5,PG 76 22 (PMA),C,37.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5107A
5108A,Better Roads Inc.,FC 5,0 ,5.8,PG 76 22 (PMA),0 ,95.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SPM 07 5108A
5109A,Ranger Construction,SP 12.5,Coarse,5.3,RA 1000,D,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 07 5109A
5110A,Ranger Construction,SP 12.5,Fine,5.3,RA 1000,C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,10.00,30.00,100.00,SP 07 5110A
5111A,Ranger Construction,SP 12.5,Coarse,5.4,RA 1100,D,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,30.00,100.00,SP 07 5111A
5112A,Better Roads Inc.,FC 12.5,Fine,6.3,PG 76 22 (PMA),C,54.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SPM 07 5112A
5114A,Community Asphalt Corp.,SP 12.5,Coarse,5.9,PG 67 22,E,61.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,SP 07 5114A
5115A,Community Asphalt Corp.,SP 12.5,Coarse,5.9,PG 76 22 (PMA),E,61.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,SPM 07 5115A
5116A,Elmo Greer & Sons,SP 12.5,Coarse,6.8,PG 67 22,D,69.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,SP 07 5116A
5117A,Anderson Columbia,SP 12.5,Fine,5.4,PG 76 22 (PMA),C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 07 5117A
5118A,Elmo Greer & Sons,SP 19.0,Fine,6.3,PG 67 22,C,42.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SP 07 5118A
5120A,Elmo Greer & Sons,SP 9.5,Fine,7.2,PG 64 22,C,30.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 07 5120A
5121A,Elmo Greer & Sons,SP 12.5,Fine,6.6,PG 64 22,C,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 07 5121A
5122A,Elmo Greer & Sons,SP 12.5,Fine,7.3,PG 76 22 (PMA),C,37.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5122A
5123A,Atlantic Coast Asphalt,SP 9.5,Fine,6.1,PG 76 22 (PMA),C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 07 5123A
5124A,Elmo Greer & Sons,SP 12.5,Fine,6.3,PG 67 22,D,43.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 07 5124A
5125A,APAC Central Fla. Division,SP 9.5,Fine,5.7,PG 76 22 (PMA),C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 07 5125A
5126A,C.W. Roberts Contracting,FC 9.5,Fine,5.7,ARB 5,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,17.00,0.00,100.00,SP 07 5126A
5127A,Ranger Construction,ATPB,0 ,2.5,PG 67 22,0 ,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 07 5127A
5128A,Ranger Construction,SP 12.5,Coarse,5.8,PG 76 22 (PMA),D,60.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5128A
5129A,APAC Southern Fla. Division,SP 12.5,Coarse,6.3,PG 76 22 (PMA),D,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5129A
5131A,Ranger Construction,SP 12.5,Coarse,6.1,PG 76 22 (PMA),D,55.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5131A
5132A,Ranger Construction,SP 9.5,Coarse,6.2,PG 76 22 (PMA),D,47.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5132A
5133A,APAC Central Fla. Division,SP 12.5,Fine,6.7,PG 67 22,C,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,24.00,100.00,SP 07 5133A
5134A,APAC Central Fla. Division,SP 19.0,Fine,6.4,PG 67 22,C,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,16.00,100.00,SP 07 5134A
5135A,APAC Central Fla. Division,SP 12.5,Coarse,5.0,PG 64 22,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 07 5135A
5136A,APAC Central Fla. Division,SP 12.5,Coarse,5.3,PG 76 22 (PMA),D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,5.00,15.00,100.00,SPM 07 5136A
5137A,APAC Central Fla. Division,SP 19.0,Fine,6.4,PG 64 22,C,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,16.00,100.00,SP 07 5137A
5138A,APAC Central Fla. Division,SP 19.0,Fine,6.4,PG 64 22,C,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,16.00,100.00,SP 07 5138A
5139A,East Coast Paving,SP 9.5,Fine,7.8,PG 67 22,C,36.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 07 5139A
5140A,Community Asphalt Corp.,SP 9.5,Coarse,6.2,PG 67 22,D,50.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 07 5140A
5141A,Ranger Construction,SP 19.0,Coarse,4.9,RA 1000,D,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,29.00,100.00,SP 07 5141A
5142A,Community Asphalt Corp.,SP 12.5,Fine,5.8,PG 67 22,B,43.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 07 5142A
5143A,Ranger Construction,SP 9.5,Coarse,6.0,RA 1300,D,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 07 5143A
5144A,APAC Central Fla. Division,SP 12.5,Fine,6.7,PG 67 22,C,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,24.00,100.00,SP 07 5144A
5145A,Ranger Construction,SP 12.5,Fine,6.5,PG 67 22,C,37.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 07 5145A
5146A,Ranger Construction,FC 5,0 ,6.2,ARB 12,0 ,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SP 07 5146A
5147A,APAC Central Fla. Division,SP 9.5,Fine,5.7,PG 64 22,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,5.00,30.00,100.00,SP 07 5147A
5148A,APAC Gulf Coast Division,SP 12.5,Fine,5.7,RA 1600,C,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SP 07 5148A
5149A,APAC First Coast Division,SP 12.5,Fine,4.9,RA 500,B,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,31.00,100.00,SP 07 5149A
5150A,APAC First Coast Division,SP 12.5,Fine,5.0,RA 500,C,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,100.00,SP 07 5150A
5151A,APAC Central Fla. Division,SP 12.5,Fine,6.8,PG 67 22,B,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,27.00,100.00,SP 07 5151A
5152A,General Asphalt of Lakeland,SP 12.5,Fine,7.6,PG 67 22,C,55.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 07 5152A
5153A,East Coast Paving,SP 12.5,Fine,7.2,PG 64 22,C,35.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 07 5153A
5154A,Ajax Paving Industries Inc.,SP 19.0,Fine,6.0,PG 64 22,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 07 5154A
5155A,Middlesex Asphalt LLC,SP 12.5,Fine,5.6,RA 1500,C,0.00,0.00,15.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,35.00,100.00,SP 07 5155A
5156A,Douglas Asphalt Co.,SP 9.5,Fine,5.7,PG 67 22,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 07 5156A
5157A,Asphalt Group Inc.,SP 9.5,Coarse,6.9,PG 64 22,D,50.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 07 5157A
5158A,Orlando Paving Co.,FC 12.5,Fine,5.2,PG 76 22 (PMA),C,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SPM 07 5158A
5160A,Orlando Paving Co.,FC 12.5,Fine,5.2,PG 76 22 (PMA),C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SPM 07 5160A
5161A,APAC Central Fla. Division,SP 12.5,Fine,5.1,PG 76 22 (PMA),C,13.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 07 5151A
5162A,APAC Southern Fla. Division,SP 9.5,Fine,7.2,PG 67 22,C,32.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 07 5162A
